"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Valid Start Date","Valid End Date","Domain","Vocabulary"
"","1002208","93669-0","Are you homeless or worried that you might be in the future [WellRx]","Survey","Standard","timeout","timeout","timeout","timeout","12/12/2019","12/30/2099","Observation","LOINC"
"","37207707","82531000000100","At risk of homelessness","Clinical Finding","Standard","timeout","timeout","timeout","timeout","05/31/2019","12/30/2099","Condition","SNOMED"
"","44810601","898811000000106","Discharge from homeless advocacy service","Procedure","Standard","timeout","timeout","timeout","timeout","03/31/2014","12/30/2099","Observation","SNOMED"
"","4271762","364701009","Feature of homelessness","Observable Entity","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","4139934","32911000","Homeless","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","21498856","LA20561-9","Homeless","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","8672","04","Homeless Shelter","Visit","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Visit","CMS Place of Service"
"","44788302","166461000000103","Homeless enhanced service completed","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2005","12/30/2099","Observation","SNOMED"
"","44788283","166301000000107","Homeless enhanced services administration","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2005","12/30/2099","Observation","SNOMED"
"","4019973","105526001","Homeless family","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","4190815","390818002","Homeless mental health care","Procedure","Standard","timeout","timeout","timeout","timeout","01/30/2003","12/30/2099","Observation","SNOMED"
"","4307308","391195008","Homeless mental health care - 3-5 contacts/week","Procedure","Standard","timeout","timeout","timeout","timeout","01/30/2003","12/30/2099","Observation","SNOMED"
"","4192297","391194007","Homeless mental health care - Daily intensive","Procedure","Standard","timeout","timeout","timeout","timeout","01/30/2003","12/30/2099","Observation","SNOMED"
"","4307307","391191004","Homeless mental health care - Full day : day care","Procedure","Standard","timeout","timeout","timeout","timeout","01/30/2003","12/30/2099","Observation","SNOMED"
"","4193277","391192006","Homeless mental health care - Part day : day care","Procedure","Standard","timeout","timeout","timeout","timeout","01/30/2003","12/30/2099","Observation","SNOMED"
"","4052051","160700001","Homeless single person","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","4076506","224675009","Hostel for the homeless","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","36309593","LA29213-8","I'm homeless or threatened with eviction","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","40482660","442244004","Length of time homeless","Observable Entity","Standard","timeout","timeout","timeout","timeout","07/30/2009","12/30/2099","Observation","SNOMED"
"","36310234","LA18835-1","Patient is homeless","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36662349","LA30928-8","Person does not have a permanent home or is homeless.","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","35609191","1079661000000106","Place of occurrence of injury is hostel for the homeless","Clinical Finding","Standard","timeout","timeout","timeout","timeout","09/30/2017","12/30/2099","Condition","SNOMED"
"","35610659","1095491000000105","Provision of community outreach care for homeless","Procedure","Standard","timeout","timeout","timeout","timeout","03/31/2018","12/30/2099","Observation","SNOMED"
"","35610286","1091381000000101","Referral to homeless advocacy service","Procedure","Standard","timeout","timeout","timeout","timeout","03/31/2018","12/30/2099","Observation","SNOMED"
"","35610291","1091461000000102","Referral to homeless advocacy service declined","Context-dependent","Standard","timeout","timeout","timeout","timeout","03/31/2018","12/30/2099","Observation","SNOMED"
"","42690497","1077211000000104","Referred by homeless drop-in centre","Clinical Finding","Standard","timeout","timeout","timeout","timeout","03/31/2017","12/30/2099","Observation","SNOMED"
"","37208401","1104581000000103","Signposting to homeless support service","Procedure","Standard","timeout","timeout","timeout","timeout","05/31/2019","12/30/2099","Procedure","SNOMED"
"","45765559","702526004","Under care of homeless advocacy service","Clinical Finding","Standard","timeout","timeout","timeout","timeout","07/30/2014","12/30/2099","Observation","SNOMED"
