"","Id","Code","Name","Class","Standard Concept Caption","RC","DRC","PC","DPC","Valid Start Date","Valid End Date","Domain","Vocabulary"
"","45877171","LA15229-0","Detached single-family housing","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","45884955","LA6195-7","Environmental support (e.g., housing, home maintenance)","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","37079289","LA30190-5","I do not have housing (staying with others, in a hotel, in a shelter, living outside on the street, on a beach, in a car, or in a park)","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","37079501","LA30189-7","I have housing","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36309786","LA29242-7","I'm Safe - I rarely have acute or chronic symptoms affecting housing, employment, social interactions, etc.","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36309180","LA29243-5","I'm Vulnerable - I sometimes or periodically have acute or chronic symptoms affecting housing, employment, social interactions, etc.","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36311030","LA29244-3","I'm in Crisis - acute or chronic symptoms affecting housing, employment, social interactions, etc.","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36311105","LA29211-2","I'm in stable housing that is safe but only marginally adequate","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36310431","LA29212-0","I'm in transitional, temporary or substandard housing; and/or current rent/mortgage is unaffordable (over 30% of income)","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36308356","LA29210-4","My household is in safe, adequate subsidized housing","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","36308730","LA29209-6","My household is safe, adequate, unsubsidized housing","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","46237275","LA21938-8","Stage 7 - Complete EMR; CCD transactions to share data; Data warehousing; Data continuity with ED, ambulatory, OP","Answer","Standard","timeout","timeout","timeout","timeout","12/31/1969","12/30/2099","Meas Value","LOINC"
"","4001678","109711006","Abnormal alveolar housing","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Condition","SNOMED"
"","4091005","185957008","Awaiting housing improvement","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","4001145","109712004","Broad alveolar housing","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Condition","SNOMED"
"","35610558","1094411000000102","Declined to disclose housing status","Clinical Finding","Standard","timeout","timeout","timeout","timeout","03/31/2018","12/30/2099","Observation","SNOMED"
"","4154613","271364002","Finding relating to awaiting housing or re-housing","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
"","4059641","160939001","House rented from housing association","Clinical Finding","Standard","timeout","timeout","timeout","timeout","01/30/2002","12/30/2099","Observation","SNOMED"
