"","Id","Code","Name","Class","Standard Concept Caption","Valid Start Date","Valid End Date","RC","DRC","PC","DPC","Domain","Vocabulary","Ancestors"
"","40329714","160714001","(House in poor repair) or (slum housing)","Location","Non-Standard","12/31/1969","01/30/2002","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","45877171","LA15229-0","Detached single-family housing","Answer","Standard","12/31/1969","12/30/2099","timeout","timeout","timeout","timeout","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4059641","160939001","House rented from housing association","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40299805","138257000","House rented from housing association","Clinical Finding","Non-Standard","12/31/1969","01/30/2002","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4052321","161036002","Housing adequate","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40300329","138354009","Housing adequate","Qualifier Value","Non-Standard","12/31/1969","01/30/2002","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44804220","724751000000102","Housing standard","Qualifier Value","Standard","09/30/2010","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","37079501","LA30189-7","I have housing","Answer","Standard","12/31/1969","12/30/2099","timeout","timeout","timeout","timeout","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36311105","LA29211-2","I'm in stable housing that is safe but only marginally adequate","Answer","Standard","12/31/1969","12/30/2099","timeout","timeout","timeout","timeout","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36309786","LA29242-7","I'm Safe - I rarely have acute or chronic symptoms affecting housing, employment, social interactions, etc.","Answer","Standard","12/31/1969","12/30/2099","timeout","timeout","timeout","timeout","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4046991","135852002","Independent housing, lives alone","Observable Entity","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40545298","366833008","Independent housing, lives alone","Location","Non-Standard","12/31/1969","01/30/2002","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4052157","160724009","Independent housing, not alone","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","40299223","138109000","Independent housing, not alone","Clinical Finding","Non-Standard","12/31/1969","01/30/2002","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","46285980","979501000000100","Lives in Extra Care housing","Clinical Finding","Standard","09/30/2015","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","3561367","979511000000103","Lives in extra care housing","Clinical Finding","Non-Standard","12/31/1969","09/30/2015","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","44802044","491761000000102","Lives in housing association rented accommodation","Clinical Finding","Standard","09/30/2009","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4019978","105537000","Living in housing with technical defects","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4019977","105536009","Living in housing without electricity","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36308356","LA29210-4","My household is in safe, adequate subsidized housing","Answer","Standard","12/31/1969","12/30/2099","timeout","timeout","timeout","timeout","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","36308730","LA29209-6","My household is safe, adequate, unsubsidized housing","Answer","Standard","12/31/1969","12/30/2099","timeout","timeout","timeout","timeout","Meas Value","LOINC","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","4207170","309683008","Slum housing","Clinical Finding","Standard","01/30/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","SNOMED","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","2618142","H0043","Supported housing, per diem","HCPCS","Standard","12/31/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
"","2618143","H0044","Supported housing, per month","HCPCS","Standard","12/31/2002","12/30/2099","timeout","timeout","timeout","timeout","Observation","HCPCS","$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
